feature,importance_mean,importance_std
rainfall,0.03999999999999994,0.006633249580710781
delivery_delay,0.01175000000000001,0.011199888392301068
aqi,0.009000000000000008,0.004123105625617665
trust_score,0.006750000000000006,0.003992179855667832
past_claims,0.002250000000000002,0.0021065374432940914
orders_completed,0.0012500000000000011,0.005285593627966498
city,0.0007500000000000007,0.002633913438213187
order_drop_rate,0.0005000000000000004,0.0031224989991992017
acceptance_rate,-0.0002500000000000002,0.004630064794363038
humidity,-0.0010000000000000009,0.0050000000000000044
avg_delivery_time,-0.0012500000000000011,0.003733296130767023
active_hours,-0.0015000000000000013,0.0023979157616563617
traffic_level,-0.0025000000000000022,0.003570714214271428
experience,-0.0030000000000000027,0.00244948974278318
temperature,-0.003250000000000003,0.002633913438213187
zone_risk,-0.0040000000000000036,0.0036055512754639926
heat_index,-0.004250000000000004,0.0018540496217739173
zone_demand,-0.004250000000000004,0.0037996710383926694
idle_time,-0.007000000000000006,0.0010000000000000009
